Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,18:40:21.525,1349,17555,7.1,1333,6818,16.3,1.2,0.887,0.887,0.887,0.887,1.200,1397.4,1397.4,1397.4,1397.4,99.8,1796.7,13.0,4.3,13.6,4.5,13.6,8.8,14.0,14.0,14.0,14.0,18.0,931.6,9.33,10,11,10,30,42,9.5,58.5,0.900,1.163,6.471,3.765,5.824,4.376,10.200,36,32,27,3.376,0.928,1.496,0.968,1.096,1.096,1.120,3.360,3.312,1028,No,33,No,No,0.0,0.0,0.0,0.000,0.000,29960,3632,31,31,1.000,1765,1.849,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,3.1,0.2,39.0,4.0,4.0,127,69,16,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:21.866,1349,17555,7.1,1334,6818,16.3,1.2,0.887,0.887,0.887,0.887,1.200,1397.4,1397.4,1397.4,1397.4,99.8,1796.7,13.6,13.6,0.0,13.0,13.6,10.1,14.0,14.0,14.0,14.0,18.0,931.6,9.33,10,11,10,30,42,9.0,58.0,1.438,1.163,27.647,5.176,39.743,6.018,45.760,36,33,27,3.376,0.944,1.496,0.968,1.104,1.096,1.120,3.360,3.312,1029,No,33,No,No,0.0,4.3,4.3,0.000,0.069,29960,3632,31,31,1.000,1767,1.660,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,3.1,0.4,39.0,3.6,3.6,125,67,16,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:22.216,1323,17581,6.9,1320,6832,16.1,1.2,1.400,1.400,1.400,1.400,1.200,3793.0,3793.0,3793.0,3793.0,99.8,1796.7,43.4,39.1,30.4,8.6,43.4,30.4,38.0,38.0,38.0,38.0,18.0,931.6,9.33,10,11,10,30,42,8.4,57.4,1.363,1.169,41.765,3.765,56.904,4.400,61.304,36,33,27,3.360,1.256,1.496,0.960,1.096,1.096,1.120,3.376,3.328,1029,No,33,No,No,100.0,2.2,100.0,7.803,0.181,29963,3632,31,31,1.000,1767,1.850,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.9,0.2,39.0,3.9,3.9,119,61,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:22.529,1318,17586,6.9,1321,6831,16.2,1.2,1.400,1.400,1.400,1.400,1.200,3793.0,3793.0,3793.0,3793.0,99.8,1796.7,14.2,19.0,42.8,9.5,42.8,21.4,38.0,38.0,38.0,38.0,18.0,931.6,9.33,10,11,10,30,42,20.6,69.6,1.388,1.169,25.294,3.765,35.096,4.400,39.496,36,33,27,3.360,1.200,1.496,0.968,1.096,1.096,1.120,3.360,3.328,1029,No,33,No,No,70.0,1.6,71.5,24.910,0.209,29970,3632,31,31,1.000,1769,1.766,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.8,3.8,113,55,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:22.857,1318,17585,6.9,1328,6824,16.2,1.2,1.400,1.400,1.400,1.400,1.200,3797.9,3797.9,3797.9,3797.9,99.9,1799.0,19.0,42.8,9.5,0.0,42.8,17.8,38.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.4,69.4,1.413,1.169,37.059,3.765,52.346,4.400,56.746,36,33,27,3.360,1.256,1.496,0.968,1.104,1.096,1.120,3.360,3.328,1029,No,33,No,No,56.2,0.0,56.2,17.565,0.012,29976,3632,31,31,1.000,1767,1.760,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.8,3.8,113,55,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:23.185,1314,17590,6.9,1321,6830,16.2,1.2,1.238,1.400,0.887,0.887,1.200,3198.2,3198.2,1399.2,1399.2,99.9,1799.0,33.3,47.6,9.5,0.0,47.6,22.6,32.0,32.0,14.0,14.0,18.0,932.8,9.33,10,11,10,30,42,20.6,69.6,1.212,1.163,35.294,4.000,42.794,4.650,47.444,36,33,27,3.360,1.184,1.496,0.960,1.104,1.096,1.120,3.360,3.328,1028,No,33,No,No,53.6,13.8,67.3,20.777,0.087,29982,3632,31,31,1.000,1769,1.742,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.8,3.8,113,55,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:23.529,1314,17589,6.9,1322,6829,16.2,1.2,1.450,1.450,1.400,1.400,1.200,3897.8,3897.8,3797.9,3797.9,99.9,1799.0,28.5,38.0,15.0,10.0,38.0,22.9,39.0,39.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.1,69.1,1.438,1.169,27.647,3.765,39.743,4.400,44.143,36,33,27,3.360,1.360,1.496,0.968,1.096,1.104,1.120,3.360,3.312,1026,No,33,No,No,38.7,0.5,39.2,51.845,1.096,29999,3632,31,31,1.000,1765,1.710,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.7,3.7,113,55,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:23.873,1313,17590,6.9,1323,6828,16.2,1.2,1.400,1.400,1.400,1.400,1.200,3797.9,3797.9,3797.9,3797.9,99.9,1799.0,4.5,40.9,4.5,13.0,40.9,15.7,38.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.6,69.6,1.388,1.163,27.647,5.412,38.360,6.291,44.651,36,33,27,3.360,1.352,1.496,0.968,1.096,1.096,1.120,3.376,3.328,1026,No,33,No,No,59.9,0.0,59.9,17.524,0.000,30004,3632,32,32,1.000,1761,1.914,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.3,39.0,4.1,4.1,113,55,15,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:24.201,1313,17590,6.9,1325,6826,16.2,1.2,1.450,1.450,1.400,1.400,1.200,3897.8,3897.8,3797.9,3797.9,99.9,1799.0,36.3,40.9,0.0,0.0,40.9,19.3,39.0,39.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.6,69.6,1.413,1.169,37.647,5.412,53.176,6.325,59.501,36,33,27,3.360,1.408,1.496,0.968,1.096,1.096,1.120,3.360,3.312,1026,No,33,No,No,35.4,0.0,35.4,41.353,0.000,30018,3632,31,31,0.937,1759,1.440,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.2,39.0,3.1,3.1,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:24.544,1313,17590,6.9,1323,6828,16.2,1.2,1.400,1.400,1.400,1.400,1.200,3797.9,3797.9,3797.9,3797.9,99.9,1799.0,47.6,28.5,34.7,0.0,47.6,27.7,38.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.1,69.1,1.431,1.175,28.235,3.765,40.412,4.424,44.835,36,33,27,3.360,1.392,1.496,0.968,1.096,1.096,1.120,3.360,3.328,1025,No,33,No,No,37.9,79.1,100.0,76.437,0.012,30042,3632,31,31,0.937,1758,1.440,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.3,39.0,3.1,3.1,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:24.857,1311,17592,6.9,1321,6831,16.2,1.2,1.050,1.400,1.400,1.400,1.200,2398.7,3797.9,3797.9,3797.9,99.9,1799.0,19.0,42.8,5.0,10.0,42.8,19.2,24.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.1,69.1,1.419,1.163,34.706,5.412,49.239,6.291,55.530,36,34,27,3.376,1.232,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1025,No,33,No,No,55.3,13.3,68.7,6.775,0.012,30044,3632,31,31,0.937,1771,0.860,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.5,39.0,1.9,1.9,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:25.185,1311,17592,6.9,1324,6828,16.2,1.2,1.400,1.400,1.400,1.400,1.200,3797.9,3797.9,3797.9,3797.9,99.9,1799.0,23.8,45.0,9.0,4.5,45.0,20.6,38.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.6,69.6,1.438,1.169,28.235,3.765,40.588,4.400,44.988,36,34,27,3.360,1.352,1.496,0.968,1.104,1.096,1.120,3.376,3.328,1026,No,33,No,No,34.2,0.0,34.2,8.638,0.000,30047,3632,31,31,0.937,1779,0.860,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.3,39.0,1.9,1.9,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:25.529,1316,17588,6.9,1332,6819,16.3,1.2,1.400,1.400,1.400,1.400,1.200,3797.9,3797.9,3797.9,3797.9,99.9,1799.0,33.3,54.5,4.7,4.7,54.5,24.3,38.0,38.0,38.0,38.0,18.0,932.8,9.33,10,11,10,30,42,20.9,69.9,1.388,1.175,27.059,4.471,37.544,5.253,42.797,36,34,27,3.376,1.344,1.496,0.968,1.104,1.104,1.120,3.360,3.328,1025,No,33,No,No,100.0,0.0,100.0,28.911,0.000,30056,3632,30,30,0.937,1771,0.794,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.3,39.0,1.7,1.7,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:25.857,1314,17589,6.9,1327,6824,16.2,1.2,0.887,0.887,0.887,1.150,1.200,1399.2,1399.2,1401.9,2803.8,99.9,1799.0,19.0,0.0,23.8,4.7,23.8,11.9,14.0,14.0,14.0,28.0,18.0,932.8,9.33,10,11,10,30,42,20.4,69.4,1.156,1.175,14.118,3.765,16.324,4.424,20.747,36,34,27,3.360,1.248,1.496,0.968,1.104,1.096,1.120,3.376,3.328,1025,No,33,No,No,49.4,0.2,49.6,12.562,0.154,30060,3632,30,30,0.937,1766,0.809,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.4,39.0,1.8,1.8,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:26.216,1318,17585,6.9,1340,6811,16.4,1.2,1.050,1.050,0.887,0.887,1.200,2403.3,2403.3,1401.9,1401.9,100.1,1802.5,27.2,36.3,13.6,18.1,36.3,23.8,24.0,24.0,14.0,14.0,18.0,934.6,9.33,10,11,10,30,42,19.9,68.9,0.900,1.169,7.059,3.765,6.353,4.400,10.753,36,34,27,3.376,1.048,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1026,No,33,No,No,64.6,0.0,64.6,5.829,0.000,30062,3632,30,30,0.937,1764,0.809,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.4,39.0,1.8,1.8,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:26.544,1327,17577,7.0,1348,6804,16.5,1.2,1.400,1.400,1.400,1.400,1.200,3805.2,3805.2,3805.2,3805.2,100.1,1802.5,30.4,17.3,39.1,4.3,39.1,22.8,38.0,38.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,19.3,68.3,1.419,1.169,37.059,3.765,52.577,4.400,56.977,36,34,27,3.360,1.328,1.496,0.968,1.096,1.096,1.120,3.360,3.312,1025,No,33,No,No,29.7,0.0,29.7,7.577,0.000,30064,3632,30,30,0.937,1763,0.826,324.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.6,39.0,1.8,1.8,113,55,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:26.873,1368,17536,7.2,1360,6792,16.6,1.2,1.400,1.400,1.400,1.400,1.200,3805.2,3805.2,3805.2,3805.2,100.1,1802.5,23.8,28.5,42.8,19.0,42.8,28.5,38.0,38.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,19.5,68.5,1.356,1.169,41.765,5.412,56.643,6.325,62.968,36,34,26,3.360,1.416,1.496,0.968,1.096,1.096,1.120,3.344,3.312,1023,No,33,No,No,23.2,0.0,23.2,10.413,0.000,30068,3632,31,31,1.000,1758,1.790,1058.4,1350.0,952.9,1.0,0.0,0.0,0.0,2.8,2.1,39.0,3.9,3.9,114,56,19,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:27.216,1364,17539,7.2,1358,6793,16.6,1.2,1.400,1.400,1.400,1.400,1.200,3805.2,3805.2,3805.2,3805.2,100.1,1802.5,59.0,13.6,28.5,9.0,59.0,27.5,38.0,38.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,19.9,68.9,1.356,1.163,46.471,5.176,63.026,6.018,69.043,36,34,26,3.360,1.408,1.496,0.968,1.096,1.096,1.120,3.360,3.312,1022,No,33,No,No,0.0,4.6,4.6,0.000,0.381,30068,3633,31,31,1.000,1760,1.693,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.7,3.7,114,56,19,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:27.581,1370,17533,7.2,1368,6783,16.7,1.2,1.400,1.400,1.400,0.887,1.200,3805.2,3805.2,3805.2,1401.9,100.1,1802.5,33.3,23.8,31.8,23.8,33.3,28.2,38.0,38.0,38.0,14.0,18.0,934.6,9.33,10,11,10,30,42,19.4,68.4,0.900,1.163,8.824,3.765,7.941,4.376,12.318,36,34,26,3.360,1.304,1.496,0.968,1.096,1.096,1.120,3.360,3.312,1022,No,33,No,No,35.5,0.0,35.5,1.731,0.000,30068,3633,31,31,1.000,1763,1.765,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,3.8,3.8,114,56,19,5.0,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:27.926,1381,17522,7.3,1381,6771,16.9,1.2,0.887,0.887,0.887,1.050,1.200,1401.9,1401.9,1401.9,2403.3,100.1,1802.5,34.7,30.4,8.6,0.0,34.7,18.4,14.0,14.0,14.0,24.0,18.0,934.6,9.33,10,11,10,30,42,18.8,67.8,1.050,1.169,18.235,3.765,19.147,4.400,23.547,36,34,26,3.360,1.064,1.496,0.968,1.104,1.096,1.120,3.360,3.312,1023,No,33,No,No,32.2,0.7,33.0,0.432,0.215,30068,3633,31,31,1.000,1770,1.854,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.2,39.0,4.0,4.0,114,56,19,5.0,0,0,0,0,0.000,0.238,0,
13.2.2017,18:40:28.254,1381,17522,7.3,1381,6771,16.9,1.2,0.887,0.887,0.887,0.887,1.200,1401.9,1401.9,1401.9,1401.9,100.1,1802.5,9.5,14.2,9.5,0.0,14.2,8.3,14.0,14.0,14.0,14.0,18.0,934.6,9.33,10,11,10,30,42,18.3,67.3,1.231,1.163,18.235,4.000,22.452,4.650,27.102,36,34,26,3.360,0.936,1.496,0.968,1.104,1.096,1.120,3.376,3.328,1023,No,33,No,No,11.8,0.0,11.8,0.678,0.000,30069,3633,31,31,1.000,1771,1.767,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.3,39.0,3.8,3.8,114,56,19,5.0,0,0,0,0,14.205,1.483,0,
13.2.2017,18:40:28.567,1382,17521,7.3,1383,6768,16.9,1.2,1.450,1.450,1.400,1.400,1.200,3905.3,3905.3,3805.2,3805.2,100.1,1802.5,23.8,42.8,0.0,0.0,42.8,16.6,39.0,39.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,17.8,66.8,1.438,1.175,28.235,4.471,40.588,5.253,45.841,37,34,26,3.360,1.328,1.496,0.960,1.096,1.096,1.120,3.376,3.312,1025,No,33,No,No,42.9,47.4,90.3,3.439,0.312,30070,3633,32,32,1.000,1765,1.810,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,2.8,0.3,39.0,3.9,3.9,114,56,19,5.0,0,0,0,0,0.000,0.000,0,
