Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","Package C2 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C6 Residency [%]","Core #1 C6 Residency [%]","Core #2 C6 Residency [%]","Core #3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","T1 [°C]","Aux [°C]","Motherboard [°C]","CPU [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","+5V [V]","+12V [V]","VIN5 [V]","VIN6 [V]","+3.3V [V]","VBAT [V]","CPU [RPM]","Chassis1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,15:13:13.482,5041,4825,51.0,4687,3451,57.5,0.0,1.206,1.201,1.196,1.196,3600.1,3600.1,3600.1,3600.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,68,70,69,68,37,35,36,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.448,42.954,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,46,26,69,3.312,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2035,2762,Yes,26,26,No,No,30,No,No,0.0,0.1,0.1,0.000,0.017,76,0,0.7,0.0,0.7,2.385,0.000,2791,190,79,79,1.200,1290,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.4,99.6,45.0,105.7,105.7,253,227,49,8.0,6,1,0.000,0.000,0,
13.2.2017,15:13:15.563,5041,4825,51.0,4691,3448,57.6,0.0,1.196,1.206,1.201,1.201,3600.0,3600.0,3600.0,3600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,70,69,68,39,35,36,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.599,43.074,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,26,69,3.344,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2024,2814,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.003,76,0,0.2,0.1,0.3,0.410,0.176,2792,190,80,79,1.200,1290,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.4,97.6,45.0,105.9,105.9,253,227,49,8.0,6,1,0.056,0.050,0,
13.2.2017,15:13:17.643,5061,4805,51.3,4711,3427,57.8,0.0,1.196,1.201,1.196,1.201,3600.0,3600.0,3600.0,3600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,67,66,67,68,38,39,38,37,68,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,60,50.481,42.185,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,26,68,3.328,1.136,0.024,5.087,11.880,0.736,1.040,3.328,3.296,2029,2752,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,41.8,37.5,79.3,2.458,0.765,2797,191,81,80,1.200,1290,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,100.0,45.0,106.2,106.2,256,230,52,8.0,6,1,0.090,0.106,0,
13.2.2017,15:13:19.749,5127,4740,51.9,4766,3373,58.5,0.0,1.201,1.201,1.201,1.196,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,70,70,68,39,35,35,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,60,47.720,39.911,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,26,68,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2029,2803,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,32.7,30.3,63.0,7.047,1.815,2811,195,81,80,1.200,1290,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.6,96.4,46.0,106.3,106.3,257,231,54,8.0,6,1,0.392,0.051,0,
13.2.2017,15:13:21.825,5154,4712,52.2,4780,3358,58.7,0.0,1.206,1.206,1.196,1.201,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,68,68,68,67,37,37,37,38,68,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,69,69,60,49.819,41.585,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,26,68,3.344,1.136,0.024,5.087,11.968,0.736,1.040,3.328,3.296,2035,2824,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,7.2,0.1,7.3,3.718,0.152,2819,195,81,81,1.187,1320,1175.8,1502.3,540.0,99.0,82.0,0.0,1.0,13.1,100.0,46.0,104.5,104.5,269,243,56,8.0,6,1,0.912,1.488,0,
13.2.2017,15:13:23.906,5116,4750,51.8,4755,3383,58.4,0.0,1.196,1.201,1.196,1.196,3600.0,3600.0,3600.0,3600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,70,69,68,39,35,36,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,62,51.044,42.592,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,25,69,3.328,1.136,0.024,5.087,11.968,0.736,1.056,3.312,3.296,2029,2824,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.2,1.4,1.6,0.503,0.332,2820,196,82,81,1.187,1320,1175.8,1502.3,540.0,99.0,82.0,0.0,1.0,12.6,100.0,46.0,104.2,104.2,258,232,54,8.0,6,1,0.242,1.078,0,
13.2.2017,15:13:26.000,5139,4727,52.0,4777,3361,58.6,0.0,1.206,1.196,1.201,1.196,3600.0,3600.0,3600.0,3600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,69,70,71,69,36,35,34,36,71,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.006,42.667,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,25,70,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2040,2762,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.4,0.7,1.1,0.450,0.186,2821,196,81,80,1.175,1320,1162.7,1502.3,540.0,99.0,79.0,0.0,2.0,12.7,100.0,98.0,100.6,100.6,260,234,54,8.0,6,1,0.151,0.160,0,
13.2.2017,15:13:28.074,5129,4738,51.9,4773,3365,58.6,0.0,1.196,1.206,1.196,1.201,3600.2,3600.2,3600.2,3600.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,67,70,70,68,38,35,35,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.396,42.883,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,25,70,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2046,2782,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.2,0.9,1.2,0.411,0.319,2821,197,81,81,1.175,1770,1162.7,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,99.1,98.0,102.4,102.4,256,230,54,8.0,6,1,0.000,0.000,0,
13.2.2017,15:13:30.156,5126,4740,51.9,4770,3368,58.6,0.0,1.196,1.196,1.196,1.201,3600.2,3600.2,3600.2,3600.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,69,70,72,69,36,35,33,36,72,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.695,43.147,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,47,26,70,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.296,2046,2742,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.3,1.2,1.5,0.490,0.115,2822,197,81,80,1.175,2250,1162.7,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,100.0,98.0,102.8,102.8,256,230,54,8.0,6,1,0.031,0.026,0,
13.2.2017,15:13:32.242,5125,4741,51.9,4768,3370,58.5,0.0,1.196,1.206,1.196,1.201,3600.3,3600.3,3600.3,3600.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,68,70,72,70,37,35,33,35,72,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,63,51.570,43.063,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.1,8.00,11,11,11,28,208,1,48,47,26,70,3.328,1.136,0.024,5.087,11.968,0.728,1.048,3.328,3.296,2040,2732,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.5,0.8,1.4,1.265,0.151,2825,198,81,80,1.175,2580,1162.7,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,99.9,98.0,102.9,102.9,256,230,54,8.0,6,1,0.422,0.020,0,
