Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,17:49:26.283,4934,13969,26.1,4435,3717,54.4,1.6,1.313,1.400,1.400,1.150,1.200,3593.6,3793.3,3793.3,2795.0,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,38.0,28.0,18.0,931.7,9.33,10,11,10,30,42,67.0,116.0,1.300,1.156,88.824,5.647,115.471,6.529,122.000,62,79,28,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.344,3.328,1525,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,47,47,1.068,1756,43.804,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.4,100.0,39.0,94.8,94.8,304,248,55,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:26.627,4934,13969,26.1,4435,3717,54.4,1.6,1.400,1.400,1.400,1.400,1.200,3793.3,3793.3,3793.3,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,67.0,116.0,1.294,1.163,85.294,5.647,110.349,6.565,116.914,62,79,28,3.328,1.320,1.496,0.960,1.080,1.096,1.120,3.328,3.328,1532,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,47,47,1.068,1755,45.336,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.4,99.0,40.0,98.1,98.1,304,248,55,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:26.955,4934,13969,26.1,4435,3717,54.4,1.6,1.400,1.313,1.400,1.238,1.200,3793.3,3593.6,3793.3,3194.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,38.0,32.0,18.0,931.7,9.33,10,11,10,30,42,67.0,116.0,1.300,1.163,84.118,5.647,109.353,6.565,115.918,62,79,28,3.328,1.304,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1541,No,39,No,No,0.0,0.3,0.3,0.000,0.249,28464,3272,48,48,1.068,1767,45.027,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.4,99.7,40.0,97.5,97.5,304,248,55,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:27.290,4932,13971,26.0,4435,3717,54.4,1.6,1.400,1.400,1.238,1.400,1.200,3793.3,3793.3,3194.3,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,32.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.9,115.9,1.238,1.163,63.529,6.353,78.618,7.385,86.003,62,79,28,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.344,3.312,1541,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,48,48,1.068,1766,45.465,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.6,100.0,40.0,98.4,98.4,312,255,55,5.0,0,0,100,9,2.275,0.164,0,
13.2.2017,17:49:27.629,4950,13953,26.1,4437,3715,54.4,1.6,1.313,1.400,1.313,1.400,1.200,3593.6,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.9,115.9,1.231,1.163,74.706,5.647,91.982,6.565,98.546,62,79,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.344,3.312,1541,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,48,48,1.068,1773,46.925,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.8,100.0,40.0,101.6,101.6,320,263,56,5.0,0,0,100,9,4.749,0.000,0,
13.2.2017,17:49:27.950,4963,13940,26.2,4450,3702,54.5,1.6,1.400,1.400,1.313,1.400,1.200,3805.1,3805.1,3604.8,3805.1,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,934.6,9.33,10,11,10,30,42,66.9,115.9,1.313,1.163,71.176,6.118,93.419,7.112,100.531,62,79,28,3.344,1.336,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1547,No,39,No,No,0.0,0.1,0.1,0.000,0.153,28464,3272,48,48,1.068,1769,44.460,1176.2,1350.0,1058.2,99.0,82.0,0.0,0.0,7.8,100.0,40.0,96.2,96.2,321,264,58,5.0,0,0,100,9,3.521,0.000,0,
13.2.2017,17:49:28.291,4963,13940,26.2,4450,3702,54.5,1.6,1.400,1.400,1.400,1.400,1.200,3805.1,3805.1,3805.1,3805.1,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,66.9,115.9,1.113,1.156,41.765,5.647,46.463,6.529,52.993,62,79,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1551,No,39,No,No,0.0,0.0,0.0,0.000,0.024,28464,3272,48,48,1.068,1769,45.018,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.7,95.5,40.0,97.4,97.4,316,260,58,5.0,0,0,100,9,3.537,0.000,0,
13.2.2017,17:49:28.594,4963,13940,26.2,4450,3702,54.5,1.6,1.400,1.313,1.238,1.400,1.200,3805.1,3604.8,3204.3,3805.1,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,32.0,38.0,18.0,934.6,9.33,10,11,10,30,42,66.9,115.9,1.325,1.156,74.706,5.882,98.985,6.801,105.787,62,79,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1554,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,49,49,1.068,1779,47.384,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.7,100.0,40.0,102.6,102.6,316,260,57,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:28.891,4961,13943,26.2,4447,3705,54.5,1.6,1.400,1.400,1.238,1.238,1.200,3805.1,3805.1,3204.3,3204.3,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,32.0,32.0,18.0,934.6,9.33,10,11,10,30,42,67.0,116.0,1.313,1.156,75.294,5.647,98.824,6.529,105.353,62,79,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.344,3.328,1551,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,49,49,1.087,1784,44.284,1188.9,1350.0,1070.4,97.0,81.0,0.0,0.0,7.5,100.0,40.0,95.9,95.9,308,251,54,5.0,0,0,100,9,0.217,0.181,0,
13.2.2017,17:49:29.192,4956,13948,26.2,4442,3709,54.4,1.6,1.313,1.313,1.400,1.400,1.200,3604.8,3604.8,3805.1,3805.1,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,36.0,36.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,66.9,115.9,1.294,1.163,89.412,6.118,115.676,7.112,122.788,62,79,28,3.344,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1554,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,49,49,1.068,1787,44.915,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.5,100.0,40.0,97.2,97.2,308,251,54,5.0,0,0,100,9,4.313,5.177,0,
