Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,19:22:37.548,4568,14335,24.1,4330,3821,53.1,0.0,1.238,1.400,1.313,1.313,1.200,3194.3,3793.2,3593.5,3593.5,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,36.0,36.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.313,1.156,74.706,6.588,98.051,7.618,105.669,58,72,27,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.328,3.328,1706,No,35,No,No,0.0,0.1,0.1,0.000,0.123,1814,448,46,46,1.068,1759,45.070,1176.2,1350.0,1058.2,99.0,82.0,0.0,0.0,6.0,98.1,39.0,97.6,97.6,245,187,51,5.0,0,0,36,5,3.067,0.000,0,
13.2.2017,19:22:37.897,4568,14335,24.1,4330,3821,53.1,0.0,1.400,1.400,1.313,1.400,1.200,3793.2,3793.2,3593.5,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.300,1.163,86.471,5.647,112.412,6.565,118.976,58,73,27,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.328,3.328,1706,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,47,47,1.068,1761,44.301,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,99.9,39.0,95.9,95.9,245,187,52,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:38.240,4568,14335,24.1,4330,3821,53.1,0.0,1.238,1.400,1.313,1.400,1.200,3194.3,3793.2,3593.5,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.231,1.156,74.706,5.647,91.982,6.529,98.511,58,73,27,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1706,No,35,No,No,0.0,0.2,0.2,0.000,0.310,1814,448,47,47,1.068,1765,46.283,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,100.0,40.0,100.2,100.2,245,187,52,5.0,0,0,36,5,5.466,0.000,0,
13.2.2017,19:22:38.571,4568,14335,24.1,4330,3821,53.1,0.0,1.238,1.400,1.238,1.400,1.200,3194.3,3793.2,3194.3,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,32.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.325,1.156,74.706,6.118,98.985,7.074,106.059,58,73,27,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.344,3.328,1706,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,48,48,1.068,1773,44.772,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,96.7,40.0,96.9,96.9,245,187,52,5.0,0,0,36,5,0.855,0.000,0,
13.2.2017,19:22:38.922,4568,14335,24.1,4330,3821,53.1,0.0,1.400,1.238,1.400,1.400,1.200,3793.2,3194.3,3793.2,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,32.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.231,1.150,74.706,6.824,91.982,7.847,99.829,59,73,27,3.328,1.328,1.496,0.960,1.088,1.096,1.120,3.328,3.312,1698,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,48,48,1.068,1773,44.535,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,100.0,40.0,96.4,96.4,245,187,52,5.0,0,0,36,5,0.877,0.000,0,
13.2.2017,19:22:39.271,4568,14335,24.1,4330,3821,53.1,0.0,1.400,1.238,1.400,1.400,1.200,3793.2,3194.3,3793.1,3793.1,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,32.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.3,113.3,1.300,1.156,78.824,5.647,102.471,6.529,109.000,59,73,27,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.344,3.312,1706,No,35,No,No,0.0,0.2,0.2,0.000,0.257,1814,448,48,48,1.068,1767,44.304,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,100.0,40.0,95.9,95.9,245,187,52,5.0,0,0,36,5,0.906,0.000,0,
13.2.2017,19:22:39.610,4567,14336,24.1,4330,3821,53.1,0.0,1.238,1.400,1.238,1.400,1.200,3194.2,3793.1,3194.2,3793.1,99.8,1796.7,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,32.0,38.0,18.0,931.6,9.33,10,11,10,30,42,64.3,113.3,1.238,1.163,67.647,5.647,83.713,6.565,90.278,59,73,27,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1710,No,35,No,No,0.0,0.2,0.2,0.000,0.024,1814,448,48,48,1.068,1766,46.105,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,96.7,40.0,99.8,99.8,245,187,52,5.0,0,0,36,5,0.726,0.000,0,
13.2.2017,19:22:39.953,4567,14336,24.1,4330,3821,53.1,0.0,1.400,1.313,1.400,1.313,1.200,3793.1,3593.5,3793.1,3593.5,99.8,1796.7,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,38.0,36.0,18.0,931.6,9.33,10,11,10,30,42,64.3,113.3,1.300,1.163,84.118,5.647,109.353,6.565,115.918,59,73,27,3.328,1.312,1.496,0.960,1.088,1.104,1.120,3.344,3.312,1710,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,48,48,1.068,1765,45.604,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,6.0,98.1,40.0,98.7,98.7,245,187,52,5.0,0,0,36,5,0.142,0.000,0,
13.2.2017,19:22:40.292,4567,14336,24.1,4330,3821,53.1,0.0,1.313,1.400,1.238,1.400,1.200,3593.5,3793.1,3194.2,3793.1,99.8,1796.7,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,32.0,38.0,18.0,931.6,9.33,10,11,10,30,42,64.3,113.3,1.300,1.163,83.529,5.882,108.588,6.838,115.426,59,73,27,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.328,3.312,1714,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,49,49,1.068,1768,45.435,1176.2,1350.0,1058.2,99.0,82.0,0.0,0.0,6.0,100.0,40.0,98.3,98.3,245,187,52,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:40.592,4567,14336,24.1,4330,3821,53.1,0.0,1.400,1.238,1.313,1.400,1.200,3793.1,3194.2,3593.5,3793.1,99.8,1796.7,100.0,100.0,100.0,100.0,100.0,100.0,38.0,32.0,36.0,38.0,18.0,931.6,9.33,10,11,10,30,42,64.3,113.3,1.294,1.163,85.882,5.647,111.110,6.565,117.675,59,73,27,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.328,3.328,1722,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,49,49,1.068,1771,45.440,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,98.2,40.0,98.3,98.3,245,187,52,5.0,0,0,36,5,2.664,0.168,0,
